BUSINESS_DATE,HOTEL,ROOMS_AVAILABLE,ROOMS_SOLD,COMP_ROOMS,OCCUPANCY,ADR_EUR,REVENUE_EUR,DOMINANT_SEGMENT
2025-01-30,"Regnum Carya",530,199,1,37.55,339.83,67286.34,FIT
2025-01-30,"Regnum The Crown",358,193,1,53.91,402.73,77324.16,Group
2025-01-31,"Regnum Carya",530,233,1,43.96,333.62,77399.84,Leisure
2025-01-31,"Regnum The Crown",358,218,4,60.89,428.15,91624.1,Leisure
2025-02-01,"Regnum Carya",530,246,2,46.42,325.44,79407.36,Group
2025-02-01,"Regnum The Crown",358,226,2,63.13,402.13,90077.12,Corporate
2025-02-02,"Regnum Carya",530,238,4,44.91,335.51,78509.34,Group
2025-02-02,"Regnum The Crown",358,251,4,70.11,435.57,107585.79,OTA
2025-02-03,"Regnum Carya",530,244,1,46.04,348.46,84675.78,OTA
2025-02-03,"Regnum The Crown",358,205,2,57.26,405,82215,OTA
2025-02-04,"Regnum Carya",530,236,1,44.53,338.27,79493.45,Leisure
2025-02-04,"Regnum The Crown",358,197,0,55.03,417.95,82336.15,Leisure
2025-02-05,"Regnum Carya",530,214,2,40.38,330.92,70155.04,OTA
2025-02-05,"Regnum The Crown",358,200,1,55.87,397.08,79018.92,Leisure
2025-02-06,"Regnum Carya",530,221,3,41.7,335.27,73088.86,OTA
2025-02-06,"Regnum The Crown",358,232,4,64.8,433.47,98831.16,Group
2025-02-07,"Regnum Carya",530,212,0,40,343.38,72796.56,Group
2025-02-07,"Regnum The Crown",358,218,3,60.89,412.83,88758.45,Leisure
2025-02-08,"Regnum Carya",530,270,4,50.94,355.16,94472.56,Leisure
2025-02-08,"Regnum The Crown",358,262,2,73.18,428.82,111493.2,OTA
2025-02-09,"Regnum Carya",530,291,3,54.91,347.36,100039.68,FIT
2025-02-09,"Regnum The Crown",358,259,1,72.35,420.13,108393.54,OTA
2025-02-10,"Regnum Carya",530,240,3,45.28,328.78,77920.86,Leisure
2025-02-10,"Regnum The Crown",358,236,0,65.92,437.7,103297.2,Group
2025-02-11,"Regnum Carya",530,261,0,49.25,347.08,90587.88,Group
2025-02-11,"Regnum The Crown",358,247,3,68.99,417.15,101784.6,Group
2025-02-12,"Regnum Carya",530,268,3,50.57,342.71,90818.15,OTA
2025-02-12,"Regnum The Crown",358,226,4,63.13,434.74,96512.28,Group
2025-02-13,"Regnum Carya",530,223,2,42.08,325.86,72015.06,Group
2025-02-13,"Regnum The Crown",358,211,3,58.94,401.68,83549.44,Group
2025-02-14,"Regnum Carya",530,215,3,40.57,335.21,71064.52,FIT
2025-02-14,"Regnum The Crown",358,223,1,62.29,416.05,92363.1,Corporate
2025-02-15,"Regnum Carya",530,298,2,56.23,365.39,108155.44,Group
2025-02-15,"Regnum The Crown",358,237,0,66.2,411.18,97449.66,OTA
2025-02-16,"Regnum Carya",530,261,4,49.25,344.81,88616.17,OTA
2025-02-16,"Regnum The Crown",358,238,1,66.48,432.34,102464.58,OTA
2025-02-17,"Regnum Carya",530,270,4,50.94,333.61,88740.26,FIT
2025-02-17,"Regnum The Crown",358,222,0,62.01,416.41,92443.02,Leisure
2025-02-18,"Regnum Carya",530,226,0,42.64,338.61,76525.86,Corporate
2025-02-18,"Regnum The Crown",358,230,0,64.25,418.64,96287.2,FIT
2025-02-19,"Regnum Carya",530,267,3,50.38,350.54,92542.56,OTA
2025-02-19,"Regnum The Crown",358,253,3,70.67,437,109250,FIT
2025-02-20,"Regnum Carya",530,287,1,54.15,357.12,102136.32,Corporate
2025-02-20,"Regnum The Crown",358,247,4,68.99,415.87,101056.41,OTA
2025-02-21,"Regnum Carya",530,282,2,53.21,359.37,100623.6,Corporate
2025-02-21,"Regnum The Crown",358,235,3,65.64,413.53,95938.96,Corporate
2025-02-22,"Regnum Carya",530,267,3,50.38,332.97,87904.08,FIT
2025-02-22,"Regnum The Crown",358,289,4,80.73,439.92,125377.2,Leisure
2025-02-23,"Regnum Carya",530,309,3,58.3,350.55,107268.3,Leisure
2025-02-23,"Regnum The Crown",358,289,4,80.73,436.87,124507.95,OTA
2025-02-24,"Regnum Carya",530,292,1,55.09,358.51,104326.41,FIT
2025-02-24,"Regnum The Crown",358,236,1,65.92,411.03,96592.05,Leisure
2025-02-25,"Regnum Carya",530,244,2,46.04,331.89,80317.38,Corporate
2025-02-25,"Regnum The Crown",358,251,3,70.11,430.9,106863.2,Leisure
2025-02-26,"Regnum Carya",530,269,2,50.75,331.01,88379.67,Corporate
2025-02-26,"Regnum The Crown",358,270,0,75.42,424.09,114504.3,Leisure
2025-02-27,"Regnum Carya",530,281,1,53.02,335.83,94032.4,Leisure
2025-02-27,"Regnum The Crown",358,244,2,68.16,415.98,100667.16,OTA
2025-02-28,"Regnum Carya",530,290,0,54.72,350.31,101589.9,Group
2025-02-28,"Regnum The Crown",358,245,4,68.44,413.95,99761.95,Corporate
2025-03-01,"Regnum Carya",530,334,4,63.02,357.58,118001.4,OTA
2025-03-01,"Regnum The Crown",358,284,4,79.33,443.27,124115.6,Leisure
2025-03-02,"Regnum Carya",530,330,4,62.26,364.2,118729.2,OTA
2025-03-02,"Regnum The Crown",358,298,1,83.24,435.05,129209.85,OTA
2025-03-03,"Regnum Carya",530,303,2,57.17,359.67,108260.67,FIT
2025-03-03,"Regnum The Crown",358,249,3,69.55,437.66,107664.36,OTA
2025-03-04,"Regnum Carya",530,271,3,51.13,333.21,89300.28,Group
2025-03-04,"Regnum The Crown",358,266,1,74.3,450.25,119316.25,OTA
2025-03-05,"Regnum Carya",530,260,3,49.06,337.69,86786.33,OTA
2025-03-05,"Regnum The Crown",358,257,1,71.79,418.34,107095.04,FIT
2025-03-06,"Regnum Carya",530,298,0,56.23,352.68,105098.64,Corporate
2025-03-06,"Regnum The Crown",358,252,1,70.39,417.53,104800.03,Group
2025-03-07,"Regnum Carya",530,274,3,51.7,358.18,97066.78,Leisure
2025-03-07,"Regnum The Crown",358,253,0,70.67,421.43,106621.79,Group
2025-03-08,"Regnum Carya",530,322,1,60.75,365.51,117328.71,OTA
2025-03-08,"Regnum The Crown",358,280,2,78.21,454.33,126303.74,Leisure
2025-03-09,"Regnum Carya",530,306,3,57.74,360.14,109122.42,Leisure
2025-03-09,"Regnum The Crown",358,277,0,77.37,434.84,120450.68,Corporate
2025-03-10,"Regnum Carya",530,311,3,58.68,349.27,107575.16,Group
2025-03-10,"Regnum The Crown",358,261,3,72.91,433.93,111953.94,Leisure
2025-03-11,"Regnum Carya",530,291,2,54.91,363.46,105039.94,Corporate
2025-03-11,"Regnum The Crown",358,263,3,73.46,446.03,115967.8,OTA
2025-03-12,"Regnum Carya",530,282,3,53.21,338.84,94536.36,Group
2025-03-12,"Regnum The Crown",358,287,1,80.17,450.61,128874.46,Corporate
2025-03-13,"Regnum Carya",530,285,3,53.77,334.41,94303.62,FIT
2025-03-13,"Regnum The Crown",358,271,2,75.7,425.88,114561.72,Corporate
2025-03-14,"Regnum Carya",530,322,2,60.75,367.38,117561.6,Group
2025-03-14,"Regnum The Crown",358,255,1,71.23,445.9,113258.6,FIT
2025-03-15,"Regnum Carya",530,328,4,61.89,368.68,119452.32,FIT
2025-03-15,"Regnum The Crown",358,301,1,84.08,456.93,137079,Corporate
2025-03-16,"Regnum Carya",530,347,2,65.47,377.57,130261.65,Corporate
2025-03-16,"Regnum The Crown",358,317,1,88.55,460.4,145486.4,FIT
2025-03-17,"Regnum Carya",530,333,3,62.83,351.83,116103.9,Group
2025-03-17,"Regnum The Crown",358,268,2,74.86,433.98,115438.68,Group
2025-03-18,"Regnum Carya",530,320,2,60.38,349.83,111245.94,Group
2025-03-18,"Regnum The Crown",358,284,2,79.33,446.61,125944.02,Leisure
2025-03-19,"Regnum Carya",530,332,3,62.64,351.63,115686.27,OTA
2025-03-19,"Regnum The Crown",358,294,3,82.12,462.1,134471.1,Leisure
2025-03-20,"Regnum Carya",530,332,4,62.64,349.45,114619.6,Leisure
2025-03-20,"Regnum The Crown",358,290,3,81.01,437.05,125433.35,Corporate
2025-03-21,"Regnum Carya",530,303,2,57.17,343.91,103516.91,Corporate
2025-03-21,"Regnum The Crown",358,289,4,80.73,462.47,131803.95,FIT
2025-03-22,"Regnum Carya",530,397,1,74.91,384.23,152155.08,Leisure
2025-03-22,"Regnum The Crown",358,305,4,85.2,439.24,132211.24,OTA
2025-03-23,"Regnum Carya",530,382,0,72.08,372.19,142176.58,Corporate
2025-03-23,"Regnum The Crown",358,313,0,87.43,458.3,143447.9,Corporate
2025-03-24,"Regnum Carya",530,347,0,65.47,371.38,128868.86,FIT
2025-03-24,"Regnum The Crown",358,286,3,79.89,455.07,128784.81,OTA
2025-03-25,"Regnum Carya",530,309,1,58.3,351.78,108348.24,Leisure
2025-03-25,"Regnum The Crown",358,283,1,79.05,446.82,126003.24,Leisure
2025-03-26,"Regnum Carya",530,328,4,61.89,371.8,120463.2,OTA
2025-03-26,"Regnum The Crown",358,290,1,81.01,451.65,130526.85,Leisure
2025-03-27,"Regnum Carya",530,341,2,64.34,370.85,125718.15,OTA
2025-03-27,"Regnum The Crown",358,292,3,81.56,454.24,131275.36,Corporate
2025-03-28,"Regnum Carya",530,377,1,71.13,362.82,136420.32,Group
2025-03-28,"Regnum The Crown",358,275,2,76.82,449.73,122776.29,Group
2025-03-29,"Regnum Carya",530,407,2,76.79,365.72,148116.6,FIT
2025-03-29,"Regnum The Crown",358,298,3,83.24,433.97,128021.15,Corporate
2025-03-30,"Regnum Carya",530,373,1,70.38,367.89,136855.08,Leisure
2025-03-30,"Regnum The Crown",358,331,1,92.46,470.64,155311.2,FIT
2025-03-31,"Regnum Carya",530,328,2,61.89,371.33,121053.58,Corporate
2025-03-31,"Regnum The Crown",358,309,1,86.31,445.71,137278.68,FIT
2025-04-01,"Regnum Carya",530,382,1,72.08,358.75,136683.75,Group
2025-04-01,"Regnum The Crown",358,303,2,84.64,441.35,132846.35,FIT
2025-04-02,"Regnum Carya",530,370,3,69.81,358.13,131433.71,FIT
2025-04-02,"Regnum The Crown",358,291,2,81.28,430.43,124394.27,Corporate
2025-04-03,"Regnum Carya",530,351,1,66.23,353.59,123756.5,OTA
2025-04-03,"Regnum The Crown",358,278,2,77.65,432.28,119309.28,Group
2025-04-04,"Regnum Carya",530,376,2,70.94,367.09,137291.66,FIT
2025-04-04,"Regnum The Crown",358,306,3,85.47,441.23,133692.69,Group
2025-04-05,"Regnum Carya",530,421,2,79.43,396.58,166167.02,Leisure
2025-04-05,"Regnum The Crown",358,321,0,89.66,462.75,148542.75,Leisure
2025-04-06,"Regnum Carya",530,423,1,79.81,370.7,156435.4,Leisure
2025-04-06,"Regnum The Crown",358,317,0,88.55,446.58,141565.86,Corporate
2025-04-07,"Regnum Carya",530,371,3,70,358.52,131935.36,Leisure
2025-04-07,"Regnum The Crown",358,315,1,87.99,466.87,146597.18,FIT
2025-04-08,"Regnum Carya",530,393,3,74.15,370.64,144549.6,Corporate
2025-04-08,"Regnum The Crown",358,281,1,78.49,435.8,122024,FIT
2025-04-09,"Regnum Carya",530,369,0,69.62,383.26,141422.94,Leisure
2025-04-09,"Regnum The Crown",358,297,2,82.96,461.4,136113,Corporate
2025-04-10,"Regnum Carya",530,379,3,71.51,369.06,138766.56,FIT
2025-04-10,"Regnum The Crown",358,296,1,82.68,435.27,128404.65,Group
2025-04-11,"Regnum Carya",530,358,2,67.55,373.42,132937.52,Leisure
2025-04-11,"Regnum The Crown",358,299,3,83.52,438.42,129772.32,Group
2025-04-12,"Regnum Carya",530,418,1,78.87,390.11,162675.87,Corporate
2025-04-12,"Regnum The Crown",358,332,1,92.74,464.14,153630.34,Group
2025-04-13,"Regnum Carya",530,391,1,73.77,364.99,142346.1,FIT
2025-04-13,"Regnum The Crown",358,320,3,89.39,452.34,143391.78,Group
2025-04-14,"Regnum Carya",530,379,3,71.51,356.75,134138,OTA
2025-04-14,"Regnum The Crown",358,290,2,81.01,441.95,127281.6,Group
2025-04-15,"Regnum Carya",530,400,3,75.47,375.59,149109.23,FIT
2025-04-15,"Regnum The Crown",358,294,4,82.12,458.45,132950.5,OTA
2025-04-16,"Regnum Carya",530,402,0,75.85,371.39,149298.78,Corporate
2025-04-16,"Regnum The Crown",358,292,2,81.56,448.76,130140.4,Group
2025-04-17,"Regnum Carya",530,402,0,75.85,390.9,157141.8,Leisure
2025-04-17,"Regnum The Crown",358,320,2,89.39,472.91,150385.38,Corporate
2025-04-18,"Regnum Carya",530,407,2,76.79,381.39,154462.95,Group
2025-04-18,"Regnum The Crown",358,311,3,86.87,454.27,139915.16,Group
2025-04-19,"Regnum Carya",530,430,2,81.13,369.12,157983.36,Group
2025-04-19,"Regnum The Crown",358,311,4,86.87,453.67,139276.69,OTA
2025-04-20,"Regnum Carya",530,428,0,80.75,374.45,160264.6,OTA
2025-04-20,"Regnum The Crown",358,309,0,86.31,442.18,136633.62,FIT
2025-04-21,"Regnum Carya",530,418,0,78.87,391.9,163814.2,OTA
2025-04-21,"Regnum The Crown",358,307,1,85.75,464.31,142078.86,Group
2025-04-22,"Regnum Carya",530,388,0,73.21,377.85,146605.8,Group
2025-04-22,"Regnum The Crown",358,299,3,83.52,463.86,137302.56,OTA
2025-04-23,"Regnum Carya",530,388,2,73.21,367.61,141897.46,OTA
2025-04-23,"Regnum The Crown",358,293,3,81.84,444.66,128951.4,Corporate
2025-04-24,"Regnum Carya",530,424,2,80,382.87,161571.14,FIT
2025-04-24,"Regnum The Crown",358,310,0,86.59,438.15,135826.5,FIT
2025-04-25,"Regnum Carya",530,397,4,74.91,380.14,149395.02,FIT
2025-04-25,"Regnum The Crown",358,303,1,84.64,463.69,140034.38,Corporate
2025-04-26,"Regnum Carya",530,444,1,83.77,379.29,168025.47,Leisure
2025-04-26,"Regnum The Crown",358,338,1,94.41,448.01,150979.37,Group
2025-04-27,"Regnum Carya",530,440,3,83.02,383.95,167786.15,OTA
2025-04-27,"Regnum The Crown",358,344,3,96.09,465.39,158697.99,OTA
2025-04-28,"Regnum Carya",530,387,0,73.02,387.05,149788.35,Group
2025-04-28,"Regnum The Crown",358,319,0,89.11,471.03,150258.57,OTA
2025-04-29,"Regnum Carya",530,397,2,74.91,369.03,145766.85,Leisure
2025-04-29,"Regnum The Crown",358,325,2,90.78,448.29,144797.67,FIT
2025-04-30,"Regnum Carya",530,415,1,78.3,372.13,154061.82,Leisure
2025-04-30,"Regnum The Crown",358,289,3,80.73,435.61,124584.46,Group
2025-05-01,"Regnum Carya",530,440,1,83.02,392.69,172390.91,FIT
2025-05-01,"Regnum The Crown",358,327,3,91.34,464.51,150501.24,Group
2025-05-02,"Regnum Carya",530,414,1,78.11,394.17,162792.21,FIT
2025-05-02,"Regnum The Crown",358,314,3,87.71,442.83,137720.13,OTA
2025-05-03,"Regnum Carya",530,448,2,84.53,401.48,179060.08,OTA
2025-05-03,"Regnum The Crown",358,338,0,94.41,463.67,156720.46,Group
2025-05-04,"Regnum Carya",530,465,2,87.74,381.28,176532.64,Corporate
2025-05-04,"Regnum The Crown",358,328,2,91.62,474.2,154589.2,Group
2025-05-05,"Regnum Carya",530,406,1,76.6,382.93,155086.65,FIT
2025-05-05,"Regnum The Crown",358,311,2,86.87,456.96,141200.64,Group
2025-05-06,"Regnum Carya",530,416,4,78.49,385.95,159011.4,Leisure
2025-05-06,"Regnum The Crown",358,325,1,90.78,460.23,149114.52,OTA
2025-05-07,"Regnum Carya",530,459,4,86.6,405.56,184529.8,Corporate
2025-05-07,"Regnum The Crown",358,323,0,90.22,468.49,151322.27,Corporate
2025-05-08,"Regnum Carya",530,413,2,77.92,370.77,152386.47,FIT
2025-05-08,"Regnum The Crown",358,322,4,89.94,445.96,141815.28,FIT
2025-05-09,"Regnum Carya",530,423,3,79.81,367.61,154396.2,OTA
2025-05-09,"Regnum The Crown",358,293,1,81.84,444.71,129855.32,Leisure
2025-05-10,"Regnum Carya",530,438,2,82.64,398.82,173885.52,Leisure
2025-05-10,"Regnum The Crown",358,314,0,87.71,452.11,141962.54,Leisure
2025-05-11,"Regnum Carya",530,439,1,82.83,400.69,175502.22,Corporate
2025-05-11,"Regnum The Crown",358,337,0,94.13,470.74,158639.38,Leisure
2025-05-12,"Regnum Carya",530,462,3,87.17,387.52,177871.68,Corporate
2025-05-12,"Regnum The Crown",358,326,1,91.06,455.14,147920.5,Group
2025-05-13,"Regnum Carya",530,423,2,79.81,388.72,163651.12,Corporate
2025-05-13,"Regnum The Crown",358,307,2,85.75,460.67,140504.35,Leisure
2025-05-14,"Regnum Carya",530,432,2,81.51,376.31,161813.3,Corporate
2025-05-14,"Regnum The Crown",358,320,2,89.39,451.47,143567.46,FIT
2025-05-15,"Regnum Carya",530,466,2,87.92,399.51,185372.64,Group
2025-05-15,"Regnum The Crown",358,323,4,90.22,446.74,142510.06,OTA
2025-05-16,"Regnum Carya",530,411,0,77.55,371.77,152797.47,FIT
2025-05-16,"Regnum The Crown",358,299,3,83.52,454.91,134653.36,Corporate
2025-05-17,"Regnum Carya",530,503,3,94.91,413.13,206565,Group
2025-05-17,"Regnum The Crown",358,335,3,93.58,460.74,152965.68,Corporate
2025-05-18,"Regnum Carya",530,483,2,91.13,408.71,196589.51,OTA
2025-05-18,"Regnum The Crown",358,311,2,86.87,459.65,142031.85,Group
2025-05-19,"Regnum Carya",530,463,2,87.36,382.1,176148.1,OTA
2025-05-19,"Regnum The Crown",358,305,4,85.2,459.4,138279.4,Group
2025-05-20,"Regnum Carya",530,443,0,83.58,378.07,167485.01,OTA
2025-05-20,"Regnum The Crown",358,302,2,84.36,439.39,131817,FIT
2025-05-21,"Regnum Carya",530,446,3,84.15,396.5,175649.5,Leisure
2025-05-21,"Regnum The Crown",358,288,2,80.45,459.5,131417,OTA
2025-05-22,"Regnum Carya",530,460,2,86.79,399.57,183003.06,Leisure
2025-05-22,"Regnum The Crown",358,290,0,81.01,454.36,131764.4,Group
2025-05-23,"Regnum Carya",530,423,0,79.81,383.86,162372.78,Corporate
2025-05-23,"Regnum The Crown",358,317,1,88.55,447.5,141410,OTA
2025-05-24,"Regnum Carya",530,490,2,92.45,392.01,191300.88,OTA
2025-05-24,"Regnum The Crown",358,323,3,90.22,442.73,141673.6,Corporate
2025-05-25,"Regnum Carya",530,452,2,85.28,374.77,168646.5,Corporate
2025-05-25,"Regnum The Crown",358,328,1,91.62,448.41,146630.07,Leisure
2025-05-26,"Regnum Carya",530,425,4,80.19,384.97,162072.37,Corporate
2025-05-26,"Regnum The Crown",358,317,3,88.55,472.89,148487.46,Group
2025-05-27,"Regnum Carya",530,439,4,82.83,377.05,164016.75,Corporate
2025-05-27,"Regnum The Crown",358,304,2,84.92,436.92,131949.84,Group
2025-05-28,"Regnum Carya",530,461,3,86.98,383.5,175643,OTA
2025-05-28,"Regnum The Crown",358,302,0,84.36,441.53,133342.06,FIT
2025-05-29,"Regnum Carya",530,475,0,89.62,389.78,185145.5,Corporate
2025-05-29,"Regnum The Crown",358,286,1,79.89,441.77,125904.45,Group
2025-05-30,"Regnum Carya",530,480,2,90.57,400.38,191381.64,OTA
2025-05-30,"Regnum The Crown",358,315,0,87.99,455.91,143611.65,Corporate
2025-05-31,"Regnum Carya",530,511,1,96.42,411.68,209956.8,OTA
2025-05-31,"Regnum The Crown",358,328,2,91.62,447.4,145852.4,Corporate
2025-06-01,"Regnum Carya",530,457,4,86.23,391.32,177267.96,Leisure
2025-06-01,"Regnum The Crown",358,319,0,89.11,468.81,149550.39,Group
2025-06-02,"Regnum Carya",530,438,2,82.64,390.49,170253.64,FIT
2025-06-02,"Regnum The Crown",358,288,2,80.45,447.7,128042.2,OTA
2025-06-03,"Regnum Carya",530,475,0,89.62,379.4,180215,OTA
2025-06-03,"Regnum The Crown",358,309,0,86.31,458.18,141577.62,Leisure
2025-06-04,"Regnum Carya",530,457,2,86.23,404.83,184197.65,OTA
2025-06-04,"Regnum The Crown",358,297,3,82.96,450.58,132470.52,Corporate
2025-06-05,"Regnum Carya",530,428,1,80.75,376.79,160889.33,OTA
2025-06-05,"Regnum The Crown",358,276,4,77.09,445.23,121102.56,Group
2025-06-06,"Regnum Carya",530,464,1,87.55,379.6,175754.8,OTA
2025-06-06,"Regnum The Crown",358,300,4,83.8,461.94,136734.24,Leisure
2025-06-07,"Regnum Carya",530,456,1,86.04,388.98,176985.9,Group
2025-06-07,"Regnum The Crown",358,293,3,81.84,447.51,129777.9,FIT
2025-06-08,"Regnum Carya",530,512,4,96.6,414.64,210637.12,FIT
2025-06-08,"Regnum The Crown",358,325,2,90.78,447.06,144400.38,Corporate
2025-06-09,"Regnum Carya",530,454,0,85.66,386.14,175307.56,Corporate
2025-06-09,"Regnum The Crown",358,305,4,85.2,459.07,138180.07,FIT
2025-06-10,"Regnum Carya",530,454,0,85.66,375.63,170536.02,FIT
2025-06-10,"Regnum The Crown",358,282,0,78.77,456.56,128749.92,Group
2025-06-11,"Regnum Carya",530,444,2,83.77,385.36,170329.12,Leisure
2025-06-11,"Regnum The Crown",358,299,3,83.52,441.43,130663.28,Leisure
2025-06-12,"Regnum Carya",530,469,1,88.49,395.86,185262.48,Corporate
2025-06-12,"Regnum The Crown",358,281,1,78.49,426.31,119366.8,OTA
2025-06-13,"Regnum Carya",530,463,2,87.36,388.18,178950.98,FIT
2025-06-13,"Regnum The Crown",358,270,3,75.42,447.8,119562.6,FIT
2025-06-14,"Regnum Carya",530,477,2,90,380.59,180780.25,OTA
2025-06-14,"Regnum The Crown",358,317,0,88.55,472.22,149693.74,Group
2025-06-15,"Regnum Carya",530,462,0,87.17,379.76,175449.12,Group
2025-06-15,"Regnum The Crown",358,284,2,79.33,425.68,120041.76,FIT
2025-06-16,"Regnum Carya",530,479,3,90.38,398.51,189690.76,Corporate
2025-06-16,"Regnum The Crown",358,287,1,80.17,459.76,131491.36,Leisure
2025-06-17,"Regnum Carya",530,450,3,84.91,390.03,174343.41,Leisure
2025-06-17,"Regnum The Crown",358,268,4,74.86,445.01,117482.64,Corporate
2025-06-18,"Regnum Carya",530,478,2,90.19,405.4,192970.4,Group
2025-06-18,"Regnum The Crown",358,284,1,79.33,443.34,125465.22,FIT
2025-06-19,"Regnum Carya",530,447,1,84.34,383.41,171000.86,Leisure
2025-06-19,"Regnum The Crown",358,287,1,80.17,452.21,129332.06,FIT
2025-06-20,"Regnum Carya",530,440,0,83.02,385.4,169576,Leisure
2025-06-20,"Regnum The Crown",358,263,2,73.46,446.16,116447.76,Leisure
2025-06-21,"Regnum Carya",530,478,1,90.19,406.41,193857.57,Group
2025-06-21,"Regnum The Crown",358,277,4,77.37,433.65,118386.45,OTA
2025-06-22,"Regnum Carya",530,501,2,94.53,396.25,197728.75,FIT
2025-06-22,"Regnum The Crown",358,273,1,76.26,445.8,121257.6,Leisure
2025-06-23,"Regnum Carya",530,463,1,87.36,398.92,184301.04,OTA
2025-06-23,"Regnum The Crown",358,272,3,75.98,435.26,117084.94,OTA
2025-06-24,"Regnum Carya",530,480,1,90.57,381.47,182724.13,Group
